SA2_CODE_2021,SA2_NAME_2021,STATE_NAME_2021
201011001,Alfredton,Victoria
201011002,Ballarat,Victoria
201011005,Buninyong,Victoria
201011006,Delacombe,Victoria
201011007,Smythes Creek,Victoria
201011008,Wendouree - Miners Rest,Victoria
201011481,Ballarat East - Warrenheip,Victoria
201011482,Ballarat North - Invermay,Victoria
201011483,Canadian - Mount Clear,Victoria
201011484,Sebastopol - Redan,Victoria
201021009,Bacchus Marsh Surrounds,Victoria
201021010,Creswick - Clunes,Victoria
201021011,Daylesford,Victoria
201021012,Gordon (Vic.),Victoria
201031013,Avoca,Victoria
201031014,Beaufort,Victoria
201031015,Golden Plains - North,Victoria
201031016,Maryborough (Vic.),Victoria
201031017,Maryborough Surrounds,Victoria
202011018,Bendigo,Victoria
202011019,California Gully - Eaglehawk,Victoria
202011020,East Bendigo - Kennington,Victoria
202011021,Flora Hill - Spring Gully,Victoria
202011022,Kangaroo Flat - Golden Square,Victoria
202011023,Maiden Gully,Victoria
202011024,Strathfieldsaye,Victoria
202011025,White Hills - Ascot,Victoria
202021026,Bendigo Surrounds - South,Victoria
202021027,Castlemaine,Victoria
202021028,Castlemaine Surrounds,Victoria
202021029,Heathcote,Victoria
202021030,Kyneton,Victoria
202021031,Woodend,Victoria
202031032,Bendigo Surrounds - North,Victoria
202031033,Loddon,Victoria
203011034,Bannockburn,Victoria
203011035,Golden Plains - South,Victoria
203011036,Winchelsea,Victoria
203021037,Belmont,Victoria
203021039,Geelong,Victoria
203021040,Geelong West - Hamlyn Heights,Victoria
203021042,Highton,Victoria
203021043,Lara,Victoria
203021044,Leopold,Victoria
203021045,Newcomb - Moolap,Victoria
203021046,Newtown (Vic.),Victoria
203021047,North Geelong - Bell Park,Victoria
203021485,Charlemont,Victoria
203021486,Corio - Lovely Banks,Victoria
203021487,Grovedale - Mount Duneed,Victoria
203021488,Norlane,Victoria
203031048,Clifton Springs,Victoria
203031049,Lorne - Anglesea,Victoria
203031051,Portarlington,Victoria
203031052,Point Lonsdale - Queenscliff,Victoria
203031053,Torquay,Victoria
203031489,Barwon Heads - Armstrong Creek,Victoria
203031490,Ocean Grove,Victoria
204011054,Alexandra,Victoria
204011055,Euroa,Victoria
204011056,Kilmore - Broadford,Victoria
204011057,Mansfield (Vic.),Victoria
204011058,Nagambie,Victoria
204011059,Seymour,Victoria
204011060,Seymour Surrounds,Victoria
204011061,Upper Yarra Valley,Victoria
204011062,Yea,Victoria
204021063,Benalla,Victoria
204021064,Benalla Surrounds,Victoria
204021065,Rutherglen,Victoria
204021066,Wangaratta,Victoria
204021067,Wangaratta Surrounds,Victoria
204031068,Beechworth,Victoria
204031069,Bright - Mount Beauty,Victoria
204031070,Chiltern - Indigo Valley,Victoria
204031071,Myrtleford,Victoria
204031072,Towong,Victoria
204031073,West Wodonga,Victoria
204031075,Yackandandah,Victoria
204031491,Baranduda - Leneva,Victoria
204031492,Wodonga,Victoria
205011076,Drouin,Victoria
205011077,Mount Baw Baw Region,Victoria
205011078,Trafalgar (Vic.),Victoria
205011079,Warragul,Victoria
205021080,Alps - East,Victoria
205021081,Bairnsdale,Victoria
205021082,Bruthen - Omeo,Victoria
205021083,Lake King,Victoria
205021084,Lakes Entrance,Victoria
205021085,Orbost,Victoria
205021086,Paynesville,Victoria
205031087,Foster,Victoria
205031088,French Island,Victoria
205031089,Korumburra,Victoria
205031090,Leongatha,Victoria
205031091,Phillip Island,Victoria
205031092,Wilsons Promontory,Victoria
205031093,Wonthaggi - Inverloch,Victoria
205041094,Churchill,Victoria
205041095,Moe - Newborough,Victoria
205041096,Morwell,Victoria
205041098,Yallourn North - Glengarry,Victoria
205041493,Traralgon - East,Victoria
205041494,Traralgon - West,Victoria
205051099,Alps - West,Victoria
205051100,Longford - Loch Sport,Victoria
205051101,Maffra,Victoria
205051102,Rosedale,Victoria
205051103,Sale,Victoria
205051104,Yarram,Victoria
206011106,Brunswick East,Victoria
206011107,Brunswick West,Victoria
206011109,Pascoe Vale South,Victoria
206011495,Brunswick - North,Victoria
206011496,Brunswick - South,Victoria
206011497,Coburg - East,Victoria
206011498,Coburg - West,Victoria
206021110,Alphington - Fairfield,Victoria
206021112,Thornbury,Victoria
206021499,Northcote - East,Victoria
206021500,Northcote - West,Victoria
206031113,Ascot Vale,Victoria
206031115,Flemington,Victoria
206031116,Moonee Ponds,Victoria
206031501,Essendon (West) - Aberfeldie,Victoria
206031502,Essendon - East,Victoria
206041117,Carlton,Victoria
