Label,estimated_population_2018,estimated_population_2019,estimated_population_2020,estimated_population_2021,estimated_population_2022,estimated_population_2023,estimated_population_2024,estimated_population_2025,estimated_population_2026
Abbotsford,9527,9594,9672,9258,9513,10008,10527.67682407277,10914.57804458454,11189.069983866411
Airport West,8169,8390,8362,8240,8295,8464,8683.181490552466,8896.540331916007,9093.092636638396
Albert Park,16728,17081,16955,16011,16177,16861,17665.062455018524,18280.665008619428,18706.84717424119
Alexandra,6646,6687,6690,6771,6794,6836,6915.938566183112,7038.105197072323,7186.668075558353
Alfredton,13537,14434,15507,16841,18002,18997,19771.949268788012,20395.671018648853,20940.98275014438
Alphington - Fairfield,9415,9467,9538,9069,9163,9491,9891.90033745332,10215.84051634675,10459.691450072169
Alps - West,24,23,23,23,23,23,33.37254633220755,56.16686337908028,88.50333109743934
Altona,13657,13861,13878,13655,13728,13899,14139.503591184286,14393.564835009576,14654.117872790022
Altona Meadows,20101,20031,19500,18660,18360,18644,19186.71984760335,19712.705512972283,20133.80773654435
Altona North,15185,15400,15396,15084,15071,15387,15849.894961872102,16294.117769774297,16667.86317181995
Ararat,8428,8465,8552,8470,8396,8339,8364.712838562296,8466.144892547,8616.177781394748
Ararat Surrounds,3188,3186,3187,3184,3190,3162,3150.1967835129008,3174.9827838398764,3235.8157421591523
Ardeer - Albion,8228,8183,8082,7590,7480,7711,8079.336942318456,8404.11731817872,8640.185342582137
Armadale,88068,91543,94970,97644,100849,105094,109278.93573261204,112809.2971340722,115653.09241761758
Ascot Vale,15752,15774,15784,15351,15191,15728,16533.27336543589,17263.874396795563,17794.14278952099
Ashburton (Vic.),8249,8298,8309,8021,7952,8160,8491.58028400463,8803.635310630136,9048.817015254506
Ashwood - Chadstone,19978,20259,20324,19782,20077,20600,21179.079245619854,21660.0000948012,22068.111014607446
Aspendale Gardens - Waterways,9377,9325,9188,8922,8912,9012,9175.54714791158,9348.257988693462,9521.586846364533
Avoca,3393,3422,3447,3501,3542,3594,3663.598074993475,3751.2215819751355,3850.545119923524
Avondale Heights,12451,12628,12642,12473,12393,12570,12890.858685532126,13236.221073854693,13545.844706233845
Bacchus Marsh,22493,23360,24263,25057,25628,26055,26474.89816916663,26953.23244840942,27487.985504036104
Bacchus Marsh Surrounds,6222,6350,6466,6533,6541,6639,6802.147219091921,6992.800172477165,7178.554600295514
Bairnsdale,15405,15547,15563,15653,15780,15819,15883.345112643627,16030.202604878534,16265.948616463582
Ballarat,165466,168399,170883,173311,176161,178818,181547.3854495757,184471.8544654629,187640.01653225377
Ballarat East - Warrenheip,9536,9632,9650,9654,9641,9628,9674.781015200213,9791.874323244167,9960.93587489909
Ballarat North - Invermay,14516,14632,14687,14701,14892,15015,15145.830754750805,15318.802473468193,15553.572445925474
Balwyn,17081,17156,17031,16323,16319,16725,17285.5808698051,17772.75256147259,18154.73981806995
Balwyn North,21780,21935,21930,21406,21322,21883,22703.97993649514,23461.390457236917,24050.12878501969
