Supermarket,Latitude,Longitude,Suburb,Postcode,Address
IGA,-37.2773622,144.7338613,No Suburb,No Postcode,
Coles,-37.7914336,145.1718422,No Suburb,No Postcode,55 Tunstall Square
Foodworks,-37.7889872,144.9760904,No Suburb,No Postcode,799 Nicholson Street
Coles,-37.8547864,145.1826504,No Suburb,No Postcode,495-511 Burwood Highway
Coles,-37.8682575,145.240404,No Suburb,No Postcode,
Coles,-37.83496,145.1643348,No Suburb,No Postcode,
Woolworths,-37.8358294,145.1644531,No Suburb,No Postcode,
Coles,-38.3614651,144.8921554,No Suburb,No Postcode,
Coles,-37.794199,145.2791738,Croydon,3136,5-15 Kent Avenue
IGA,-36.7508127,145.5710032,Euroa,3666,75 Binney Street
Coles,-37.9208945,145.2375525,No Suburb,No Postcode,1101 Stud Road
Coles,-37.8855399,145.0845484,No Suburb,No Postcode,
Woolworths,-37.887188,145.0842821,No Suburb,No Postcode,1341 Dandenong Road
ALDI,-37.8863767,145.0839366,No Suburb,No Postcode,1341 Dandenong Road
Coles,-37.8747789,144.6794291,No Suburb,No Postcode,250 Heaths Road
Woolworths,-37.7981407,144.9683576,No Suburb,No Postcode,
Coles,-37.8535375,145.1487011,No Suburb,No Postcode,172-210 Burwood Highway
Maxi Foods,-37.8943767,145.3080703,No Suburb,No Postcode,1202 Burwood Highway
Coles,-37.949435,145.0033564,No Suburb,No Postcode,10-20 Waltham Street
Woolworths,-37.8747173,145.1648652,No Suburb,No Postcode,
Coles,-37.8768747,145.1645918,No Suburb,No Postcode,227-235 Springvale Road
Woolworths,-37.8229337,145.3020376,Bayswater North,3153,17-39 Canterbury Road
Woolworths,-37.803235,145.3108152,Kilysth,3137,534-542 Mount Dandenong Road
Woolworths,-37.9097755,145.1898734,No Suburb,No Postcode,
Coles,-37.6856825,144.5657612,No Suburb,No Postcode,533-555 High Street
Woolworths,-37.6855804,144.5669149,No Suburb,No Postcode,
Psarakos Market,-37.7597746,145.0007011,No Suburb,No Postcode,
Coles,-37.8612829,145.2875436,No Suburb,No Postcode,
Woolworths,-37.7601449,145.3494123,No Suburb,No Postcode,
Woolworths,-37.8784183,145.1276618,No Suburb,No Postcode,
Ritchie's IGA,-37.8763513,145.1285091,No Suburb,No Postcode,
Coles,-38.0778107,145.4790259,No Suburb,No Postcode,67-69 Main Street
Ritchies,-38.0791372,145.4828066,No Suburb,No Postcode,
Woolworths,-38.0816497,145.2782581,No Suburb,No Postcode,
Coles,-38.0857063,145.4709464,No Suburb,No Postcode,
Coles,-38.115432,145.1930495,No Suburb,No Postcode,335 Ballarto Road
Woolworths,-38.140202,145.126413,Frankston,No Postcode,
Coles,-38.1421829,145.1234117,No Suburb,No Postcode,
Woolworths,-37.9834708,145.1329898,Dingley Village,No Postcode,89 Centre Dandenong Road
ALDI,-37.9590509,145.0548965,No Suburb,No Postcode,1239 Nepean Highway
Coles,-37.9589132,145.0512356,No Suburb,No Postcode,
Coles,-38.2193814,145.0401252,No Suburb,No Postcode,78 Barkly Street
