GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,2022 no,2023 no,2022-23 no,2022-23 %,Natural increase,Net internal migration,Net overseas migration,Area (km2),persons/km2
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011001,Alfredton,18002,18997,995,5.5,140,695,160,52.7,360.4
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011002,Ballarat,11938,11809,-129,-1.1,-57,-213,141,12.4,954
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011005,Buninyong,7247,7323,76,1,15,-19,80,51.6,142
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011006,Delacombe,11798,12869,1071,9.1,133,898,40,34.2,376.7
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011007,Smythes Creek,4223,4268,45,1.1,11,31,3,104.7,40.8
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011008,Wendouree - Miners Rest,15388,15431,43,0.3,34,-100,109,67.6,228.4
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011481,Ballarat East - Warrenheip,9641,9628,-13,-0.1,-68,-3,58,19.2,501
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011482,Ballarat North - Invermay,14892,15015,123,0.8,51,-11,83,73.1,205.3
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011483,Canadian - Mount Clear,12395,12433,38,0.3,18,-127,147,22.3,558.2
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011484,Sebastopol - Redan,12960,12885,-75,-0.6,7,-142,60,10.6,1217.7
2RVIC,Rest of Vic.,201,Ballarat,20102,Creswick - Daylesford - Ballan,201021009,Bacchus Marsh Surrounds,6541,6639,98,1.5,32,49,17,1038.8,6.4
2RVIC,Rest of Vic.,201,Ballarat,20102,Creswick - Daylesford - Ballan,201021010,Creswick - Clunes,7969,7987,18,0.2,-15,12,21,856.8,9.3
2RVIC,Rest of Vic.,201,Ballarat,20102,Creswick - Daylesford - Ballan,201021011,Daylesford,10003,10085,82,0.8,-29,41,70,920.8,11
2RVIC,Rest of Vic.,201,Ballarat,20102,Creswick - Daylesford - Ballan,201021012,Gordon (Vic.),6379,6408,29,0.5,35,-23,17,850.3,7.5
2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031013,Avoca,3542,3594,52,1.5,-19,60,11,1714.2,2.1
2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031014,Beaufort,4612,4709,97,2.1,0,87,10,1863,2.5
2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031015,Golden Plains - North,4894,4940,46,0.9,19,16,11,922.1,5.4
2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031016,Maryborough (Vic.),8172,8154,-18,-0.2,-79,38,23,45.5,179.1
2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031017,Maryborough Surrounds,5565,5644,79,1.4,-26,88,17,1627.6,3.5
2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011018,Bendigo,14748,14625,-123,-0.8,-30,-252,159,16.1,909.5
2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011019,California Gully - Eaglehawk,13102,13310,208,1.6,53,95,60,32.9,404.2
2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011020,East Bendigo - Kennington,13890,13974,84,0.6,-42,24,102,17.1,814.9
2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011021,Flora Hill - Spring Gully,9383,9460,77,0.8,16,-29,90,13.2,716.5
2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011022,Kangaroo Flat - Golden Square,21201,21258,57,0.3,16,-97,138,40.9,519.6
2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011023,Maiden Gully,5614,5749,135,2.4,43,79,13,43,133.8
2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011024,Strathfieldsaye,11027,11271,244,2.2,85,132,27,56.4,199.8
2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011025,White Hills - Ascot,14906,15236,330,2.2,158,90,82,67.8,224.8
2RVIC,Rest of Vic.,202,Bendigo,20202,Heathcote - Castlemaine - Kyneton,202021026,Bendigo Surrounds - South,8574,8808,234,2.7,60,148,26,796.9,11.1
2RVIC,Rest of Vic.,202,Bendigo,20202,Heathcote - Castlemaine - Kyneton,202021027,Castlemaine,11347,11495,148,1.3,-40,117,71,83.9,137
2RVIC,Rest of Vic.,202,Bendigo,20202,Heathcote - Castlemaine - Kyneton,202021028,Castlemaine Surrounds,9298,9397,99,1.1,-17,81,35,1515,6.2
2RVIC,Rest of Vic.,202,Bendigo,20202,Heathcote - Castlemaine - Kyneton,202021029,Heathcote,5157,5261,104,2,-12,107,9,756.8,7
2RVIC,Rest of Vic.,202,Bendigo,20202,Heathcote - Castlemaine - Kyneton,202021030,Kyneton,10562,10571,9,0.1,-39,-17,65,556.5,19
2RVIC,Rest of Vic.,202,Bendigo,20202,Heathcote - Castlemaine - Kyneton,202021031,Woodend,7992,8044,52,0.7,-17,24,45,211.9,38
2RVIC,Rest of Vic.,202,Bendigo,20203,Loddon - Elmore,202031032,Bendigo Surrounds - North,5022,5154,132,2.6,12,113,7,1440.2,3.6
2RVIC,Rest of Vic.,202,Bendigo,20203,Loddon - Elmore,202031033,Loddon,7274,7256,-18,-0.2,-33,-13,28,6193.3,1.2
2RVIC,Rest of Vic.,203,Geelong,20301,Barwon - West,203011034,Bannockburn,7958,8143,185,2.3,41,121,23,192.1,42.4
2RVIC,Rest of Vic.,203,Geelong,20301,Barwon - West,203011035,Golden Plains - South,8246,8467,221,2.7,66,132,23,1484.5,5.7
2RVIC,Rest of Vic.,203,Geelong,20301,Barwon - West,203011036,Winchelsea,6675,6781,106,1.6,53,30,23,903.3,7.5
2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021037,Belmont,14949,14993,44,0.3,46,-186,184,9.4,1600.5
2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021039,Geelong,13543,13649,106,0.8,-9,-149,264,12.8,1064.9
2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021040,Geelong West - Hamlyn Heights,21377,21846,469,2.2,192,25,252,32,681.9
2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021042,Highton,24593,25142,549,2.2,118,75,356,40.6,619.5
2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021043,Lara,21365,22090,725,3.4,181,397,147,588.6,37.5
2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021044,Leopold,13330,13516,186,1.4,30,85,71,27.9,483.9
2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021045,Newcomb - Moolap,15291,15197,-94,-0.6,-55,-118,79,43.3,351
2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021046,Newtown (Vic.),10305,10362,57,0.6,47,-150,160,5.8,1784.2
2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021047,North Geelong - Bell Park,15721,15718,-3,0,-14,-143,154,21.9,716.7
2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021485,Charlemont,11863,12731,868,7.3,171,627,70,18.1,702.7
2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021486,Corio - Lovely Banks,18254,18401,147,0.8,105,-208,250,74.4,247.5
2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021487,Grovedale - Mount Duneed,25830,26663,833,3.2,145,470,218,37.6,709.3
2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021488,Norlane,8951,8950,-1,0,22,-134,111,6.5,1384.9
2RVIC,Rest of Vic.,203,Geelong,20303,Surf Coast - Bellarine Peninsula,203031048,Clifton Springs,17118,17514,396,2.3,57,283,56,65.1,268.8
2RVIC,Rest of Vic.,203,Geelong,20303,Surf Coast - Bellarine Peninsula,203031049,Lorne - Anglesea,6273,6215,-58,-0.9,-21,-89,52,448,13.9
